Date,Open,High,Low,Close,Volume
2018-06-13,6.493385239607516,6.568297380275118,6.4783036887804855,6.487451553344727,338208000.0
2018-06-14,6.532449575844525,6.655572522514355,6.517615122268855,6.5989556312561035,430016000.0
2018-06-15,6.541844213493508,6.613047988906187,6.510939808543376,6.558161735534668,432260000.0
2018-06-18,6.5141537228346875,6.571512382860502,6.486958168246381,6.553958892822266,356268000.0
2018-06-19,6.4508615239808345,6.518109821084411,6.304993169028046,6.432319164276123,594932000.0
2018-06-20,6.473361638616656,6.538137068572519,6.435039999489939,6.485229015350342,369780000.0
2018-06-21,6.5171203519928484,6.535415610588816,6.349000332053163,6.356664657592773,359516000.0
2018-06-22,6.377432969323854,6.390783883407651,6.189039933407088,6.2043681144714355,434160000.0
2018-06-25,6.098058747082678,6.101767125588716,5.823380320618895,5.911890506744385,665816000.0
2018-06-26,6.02512384662331,6.073334649697153,5.931421277708338,5.982846260070801,478884000.0
2018-06-27,6.026359139611977,6.092618098974124,5.822389872414972,5.827829360961914,453892000.0
2018-06-28,5.817939830519477,5.966775746026835,5.810275503778183,5.95490837097168,338012000.0
2018-06-29,6.019932320220563,6.032540995603692,5.855767725120782,5.857004165649414,392300000.0
2018-07-02,5.787530159257591,5.99273540122519,5.7670095879044485,5.98902702331543,357572000.0
2018-07-03,6.023639820092612,6.029573507698457,5.8471136748373285,5.855519771575928,222732000.0
2018-07-05,5.910652695618231,6.00608541765982,5.871836865355554,6.00114107131958,306216000.0
2018-07-06,5.976663217169979,6.123273781470904,5.955400882185227,6.114867687225342,296352000.0
2018-07-09,6.189040085660409,6.198682150756022,6.083717724780583,6.1623382568359375,303880000.0
2018-07-10,6.174699951455548,6.283236013497181,6.134400582636994,6.261232376098633,360016000.0
2018-07-11,6.1685189048834905,6.203131684655478,6.1091820373261445,6.119813442230225,367508000.0
2018-07-12,6.165056356203789,6.259252611962953,6.155166723128034,6.211288928985596,345508000.0
2018-07-13,6.22983442026624,6.22983442026624,6.12203963713282,6.164069652557373,246988000.0
2018-07-16,6.136379718780518,6.189288243483045,6.124018143114712,6.136379718780518,197036000.0
2018-07-17,6.087179171672873,6.287192493015592,6.061713782436663,6.272110939025879,362136000.0
2018-07-18,6.264693310372985,6.278538422105761,6.171980104393504,6.222910404205322,277640000.0
2018-07-19,6.204121583157917,6.264694429372078,6.189040500139685,6.231070041656494,235752000.0
2018-07-20,6.228598117488264,6.2674139515510445,6.192007121605458,6.202885627746582,222352000.0
2018-07-23,6.176430833249131,6.178161472378731,6.014738681218389,6.166294097900391,301584000.0
2018-07-24,6.214256895024077,6.3007893105404325,6.131432856658911,6.14898681640625,354620000.0
2018-07-25,6.158383304050002,6.239723823051808,6.1005299654223775,6.227114677429199,319112000.0
2018-07-26,6.207087845992745,6.337380444989533,6.1902756543473405,6.30054235458374,325124000.0
2018-07-27,6.3371342789732275,6.344056836184781,6.176925650601559,6.230823040008545,295420000.0
2018-07-30,6.244916378672736,6.250850067126715,6.0008947967490665,6.035755157470703,340340000.0
2018-07-31,6.025369543202064,6.12846658338702,5.986553716003607,6.053801536560059,283988000.0
2018-08-01,6.085201800147668,6.140335158681855,6.029820870594712,6.093607425689697,283556000.0
2018-08-02,6.022403737369431,6.20016586196513,5.963561999832719,6.1962103843688965,269668000.0
2018-08-03,6.220685533246548,6.256534755260272,6.203873812770747,6.232800006866455,214288000.0
2018-08-06,6.22019135556885,6.283977902639579,6.173711199442598,6.280516624450684,207508000.0
2018-08-07,6.329222115783142,6.37125212463202,6.3025207594226975,6.3527092933654785,258132000.0
2018-08-08,6.353945411950338,6.434049476976423,6.319085060697001,6.389052391052246,262100000.0
2018-08-09,6.406855169719646,6.409574678675901,6.332931871124073,6.3405961990356445,204280000.0
2018-08-10,6.25875945093944,6.331693856492725,6.24763384766644,6.2993059158325195,256396000.0
2018-08-13,6.307959659290421,6.452839613844387,6.306229020221007,6.332188606262207,375208000.0
2018-08-14,6.43750992345539,6.477562186576666,6.354438789956748,6.463469505310059,466220000.0
2018-08-15,6.4842393065814905,6.518110795403107,6.326750653225636,6.40537166595459,591136000.0
2018-08-16,6.4750909943011195,6.477563403260773,6.304745648022211,6.364823818206787,801260000.0
2018-08-17,6.253567144663796,6.254308914377625,6.025863176630412,6.052812099456787,1143188000.0
2018-08-20,6.012267069902748,6.259996521428613,5.901999886921479,6.12747859954834,854388000.0
2018-08-21,6.143794418971897,6.267412011017353,6.124015623107172,6.2629618644714355,673988000.0
2018-08-22,6.230327431510983,6.502780453475233,6.2268661536883085,6.497835636138916,749856000.0
2018-08-23,6.459266851111327,6.662494314777757,6.445421739946275,6.597224235534668,720684000.0
2018-08-24,6.605631935332565,6.744825322111341,6.60118178731468,6.730238437652588,531512000.0
2018-08-27,6.759905786011847,6.895390782287352,6.728507181744651,6.821220397949219,505776000.0
2018-08-28,6.815286080173353,6.838031958112946,6.663730675070671,6.783639907836914,475384000.0
2018-08-29,6.775972895121321,6.914005776022429,6.755193863373623,6.889021396636963,420108000.0
2018-08-30,6.8578514316187205,6.968921097221528,6.835340816995856,6.872199058532715,346608000.0
2018-08-31,6.852161580332045,6.95605718709204,6.842266535963625,6.9431939125061035,306592000.0
2018-09-04,6.930083120296011,7.055499932969545,6.901635574694479,7.017899990081787,391720000.0
2018-09-05,7.0003375439705895,7.035711437732241,6.806398978892806,6.887289047241211,393156000.0
2018-09-06,6.870962477559457,6.873436239069993,6.713387691094614,6.746287822723389,322796000.0
2018-09-07,6.654265009196987,6.8504300666467355,6.609491018149843,6.725013256072998,295420000.0
2018-09-10,6.747525608084543,6.825694686641503,6.703741015834612,6.7960100173950195,220140000.0
2018-09-11,6.7497500993448964,6.837319263553331,6.728971071598156,6.748266220092773,243112000.0
2018-09-12,6.7084408696793165,6.727983257381165,6.4791283908914625,6.634477138519287,419092000.0
2018-09-13,6.700276708044495,6.8026879738979895,6.682960850511504,6.712150573730469,305536000.0
2018-09-14,6.802439735883755,6.904108811156967,6.765581499505459,6.8380608558654785,386936000.0
2018-09-17,6.812583141273332,6.8615624842390135,6.7569246897619335,6.776219367980957,205528000.0
2018-09-18,6.780177131055425,6.8828356280431455,6.697555486850269,6.7042341232299805,299520000.0
