Date,Open,High,Low,Close,Volume
2021-06-15,552.0522627305907,553.8712158203125,551.1427861857297,553.8712158203125,26012250.0
2021-06-16,552.9619511880165,552.9619511880165,550.2335205078125,550.2335205078125,25856919.0
2021-06-17,548.863557016102,553.4298095703125,546.1238054835757,553.4298095703125,22872361.0
2021-06-18,555.2564391583747,555.2564391583747,548.8636841022751,550.690185546875,32652017.0
2021-06-21,538.8178024161128,542.4708044663915,532.425048828125,532.425048828125,44279632.0
2021-06-22,534.2515796278587,536.9913313182581,527.8588256835938,527.8588256835938,27823974.0
2021-06-23,532.4250872956604,546.1238459739365,530.598586138557,543.3840942382812,34392376.0
2021-06-24,546.1239379882812,546.1239379882812,536.9914306640625,538.8179321289062,16524230.0
2021-06-25,546.1237712414736,546.1237712414736,537.9045171592442,539.7310180664062,18841696.0
2021-06-28,538.8179321289062,538.8179321289062,535.1649291992188,538.8179321289062,15028407.0
2021-06-29,546.1238459739365,546.1238459739365,539.7310919240743,543.3840942382812,28659610.0
2021-06-30,547.0370965524882,547.0370965524882,543.3840942382812,543.3840942382812,24883853.0
2021-07-01,544.2973690451096,545.2106196643128,539.7311159490936,541.5576171875,18250994.0
2021-07-02,538.8177728977333,541.5575242853489,536.0780215101178,536.9912719726562,18322419.0
2021-07-05,536.9912667056631,545.2105207878926,536.9912667056631,539.7310180664062,28836816.0
2021-07-06,543.3842225976892,544.297473391971,537.9047178319983,540.6444702148438,12997112.0
2021-07-07,538.8177623813,542.4707641601562,536.9912614918719,542.4707641601562,16966158.0
2021-07-08,543.384025210426,543.384025210426,536.9912719726562,536.9912719726562,21140426.0
2021-07-09,531.5117559563624,534.2515072757251,529.6852550767873,533.3382568359375,29029415.0
2021-07-12,543.3841184259064,545.2106196643128,538.8178653298904,541.5576171875,31304547.0
2021-07-13,547.9502644923805,555.2562680189457,547.0370140515599,554.343017578125,52540315.0
2021-07-14,559.8225708007812,561.6490718474396,555.2563181841355,559.8225708007812,38418875.0
