Date,Foreign_net,Trust_net,Dealer_net
2015-07-16,-9068405.0,-632000.0,811000.0
2015-07-17,22873116.0,986000.0,-2772000.0
2015-07-20,7025448.0,48000.0,-733000.0
2015-07-21,5353800.0,958000.0,-876000.0
2015-07-22,-3861719.0,400000.0,622000.0
2015-07-23,-14202274.0,367000.0,1416000.0
2015-07-24,-3414295.0,629000.0,-447000.0
2015-07-27,-19128202.0,437000.0,118000.0
2015-07-28,-14379589.0,796000.0,2034000.0
2015-07-29,7401465.0,338000.0,-1007000.0
2015-07-30,12377894.0,487000.0,-1441000.0
2015-07-31,6333598.0,257000.0,-1494000.0
2015-08-03,-15415952.0,520000.0,-858000.0
2015-08-04,-1733293.0,278000.0,4188000.0
2015-08-05,-13269659.0,195000.0,2434000.0
2015-08-06,-530181.0,-554000.0,365000.0
2015-08-07,-8120717.0,214000.0,2000.0
2015-08-10,-7135640.0,-825000.0,1320000.0
2015-08-11,22282397.0,-26000.0,-4431000.0
2015-08-12,-10023500.0,754000.0,432382.0
2015-08-13,1870686.0,-209000.0,371000.0
2015-08-14,-4307600.0,-1518000.0,296000.0
2015-08-17,1710110.0,-299000.0,-149285.0
2015-08-18,7398799.0,-100000.0,-1728000.0
2015-08-19,-4752942.0,-38000.0,-940000.0
2015-08-20,-4536988.0,-591000.0,1036000.0
2015-08-21,-13678463.0,-335000.0,-1290000.0
2015-08-24,2567954.0,5000.0,-1280000.0
2015-08-25,20933637.0,1269270.0,-2498000.0
2015-08-26,-10698644.0,849000.0,-741000.0
2015-08-27,-2342934.0,251000.0,-609000.0
2015-08-28,-665730.0,-220000.0,-480000.0
2015-08-31,9274323.0,-386000.0,-2871000.0
2015-09-01,-9943550.0,-14000.0,-1590444.0
2015-09-02,5746438.0,1054000.0,-153000.0
2015-09-03,7012600.0,54000.0,-1962000.0
2015-09-04,-29041.0,-286000.0,-977000.0
2015-09-07,-1544803.0,25000.0,134000.0
2015-09-08,-1839855.0,-139259.0,-545000.0
2015-09-09,34832447.0,291000.0,399000.0
2015-09-10,-10675736.0,-443000.0,1509000.0
2015-09-11,5179914.0,-293000.0,366000.0
2015-09-14,1495933.0,414683.0,141000.0
2015-09-15,-3397408.0,37000.0,901000.0
2015-09-16,20664503.0,630000.0,255000.0
2015-09-17,18619093.0,289940.0,500000.0
2015-09-18,7206064.0,-1854000.0,559000.0
2015-09-21,-1124272.0,-85000.0,99000.0
2015-09-22,1486888.0,-312834.0,262000.0
2015-09-23,-21083785.0,0.0,737000.0
